avoid_flag,prevent_flag,treat_flag,Group,Causes of deaths,Rationale for inclusion,Range,cid_pai
Avoidable mortality,Preventable mortality,,Infectious diseases,Intestinal diseases,Most of these infections can be prevented through prevention measures (e.g. improve water and food safety),(A00-A09),A0
Avoidable mortality,Preventable mortality,,Infectious diseases,"Diphtheria, Tetanus, Poliomyelitis",Most of these infections can be prevented through vaccination.,"(A35, A36, A80)",A35
Avoidable mortality,Preventable mortality,,Infectious diseases,"Diphtheria, Tetanus, Poliomyelitis",Most of these infections can be prevented through vaccination.,"(A35, A36, A80)",A36
Avoidable mortality,Preventable mortality,,Infectious diseases,"Diphtheria, Tetanus, Poliomyelitis",Most of these infections can be prevented through vaccination.,"(A35, A36, A80)",A80
Avoidable mortality,Preventable mortality,,Infectious diseases,Whooping cough,Most of these infections can be prevented through vaccination.,(A37),A37
Avoidable mortality,Preventable mortality,,Infectious diseases,Meningococcal infection,Most of these infections can be prevented through vaccination.,(A39),A39
Avoidable mortality,Preventable mortality,,Infectious diseases,Sepsis due to streptococcus pneumonia and depsis due to hemophilus influenzae,Most of these infections can be prevented through vaccination.,"(A40.3, , A41.3)",A403
Avoidable mortality,Preventable mortality,,Infectious diseases,Sepsis due to streptococcus pneumonia and depsis due to hemophilus influenzae,Most of these infections can be prevented through vaccination.,"(A40.3, , A41.3)",A413
Avoidable mortality,Preventable mortality,,Infectious diseases,Haemophilus inflenza infections,Most of these infections can be prevented through vaccination.,(A49.2),A492
Avoidable mortality,Preventable mortality,,Infectious diseases,Sexually transmitted infections (except HIV/AIDS),These infections can be prevented through prevention measures.,"(A50-A60, A63, A64)",A5
Avoidable mortality,Preventable mortality,,Infectious diseases,Sexually transmitted infections (except HIV/AIDS),These infections can be prevented through prevention measures.,"(A50-A60, A63, A64)",A60
Avoidable mortality,Preventable mortality,,Infectious diseases,Sexually transmitted infections (except HIV/AIDS),These infections can be prevented through prevention measures.,"(A50-A60, A63, A64)",A63
Avoidable mortality,Preventable mortality,,Infectious diseases,Sexually transmitted infections (except HIV/AIDS),These infections can be prevented through prevention measures.,"(A50-A60, A63, A64)",A64
Avoidable mortality,Preventable mortality,,Infectious diseases,Varicella,Most of these infections can be prevented through vaccination.,(B01),B01
Avoidable mortality,Preventable mortality,,Infectious diseases,Measles,Most of these infections can be prevented through vaccination.,(B05),B05
Avoidable mortality,Preventable mortality,,Infectious diseases,Rubella,Most of these infections can be prevented through vaccination.,(B06),B06
Avoidable mortality,Preventable mortality,,Infectious diseases,Viral Hepatitis,This condition is preventable and will not require treatment if prevented.,(B15-B19),B15
Avoidable mortality,Preventable mortality,,Infectious diseases,Viral Hepatitis,This condition is preventable and will not require treatment if prevented.,(B15-B19),B16
Avoidable mortality,Preventable mortality,,Infectious diseases,Viral Hepatitis,This condition is preventable and will not require treatment if prevented.,(B15-B19),B17
Avoidable mortality,Preventable mortality,,Infectious diseases,Viral Hepatitis,This condition is preventable and will not require treatment if prevented.,(B15-B19),B18
Avoidable mortality,Preventable mortality,,Infectious diseases,Viral Hepatitis,This condition is preventable and will not require treatment if prevented.,(B15-B19),B19
Avoidable mortality,Preventable mortality,,Infectious diseases,HIV/AIDS,This condition is preventable and will not require treatment if prevented.,(B20-B24),B20
Avoidable mortality,Preventable mortality,,Infectious diseases,HIV/AIDS,This condition is preventable and will not require treatment if prevented.,(B20-B24),B21
Avoidable mortality,Preventable mortality,,Infectious diseases,HIV/AIDS,This condition is preventable and will not require treatment if prevented.,(B20-B24),B22
Avoidable mortality,Preventable mortality,,Infectious diseases,HIV/AIDS,This condition is preventable and will not require treatment if prevented.,(B20-B24),B23
Avoidable mortality,Preventable mortality,,Infectious diseases,HIV/AIDS,This condition is preventable and will not require treatment if prevented.,(B20-B24),B24
Avoidable mortality,Preventable mortality,,Infectious diseases,Malaria,This condition is preventable and will not require treatment if prevented.,(B50-B54),B50
Avoidable mortality,Preventable mortality,,Infectious diseases,Malaria,This condition is preventable and will not require treatment if prevented.,(B50-B54),B51
Avoidable mortality,Preventable mortality,,Infectious diseases,Malaria,This condition is preventable and will not require treatment if prevented.,(B50-B54),B52
Avoidable mortality,Preventable mortality,,Infectious diseases,Malaria,This condition is preventable and will not require treatment if prevented.,(B50-B54),B53
Avoidable mortality,Preventable mortality,,Infectious diseases,Malaria,This condition is preventable and will not require treatment if prevented.,(B50-B54),B54
Avoidable mortality,Preventable mortality,,Infectious diseases,Haemophilus and pneumococcal meningitis,Most of these infections can be prevented through vaccination.,"(G00.0, G00.1)",G000
Avoidable mortality,Preventable mortality,,Infectious diseases,Haemophilus and pneumococcal meningitis,Most of these infections can be prevented through vaccination.,"(G00.0, G00.1)",G001
Avoidable mortality,Preventable mortality,Treatable mortality,Infectious diseases,Tuberculosis,Reduction in deaths from tuberculosis in several countries has been about evenly achieved through greater prevention(reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,"(A15-A19, B90, J65)",A15
Avoidable mortality,Preventable mortality,Treatable mortality,Infectious diseases,Tuberculosis,Reduction in deaths from tuberculosis in several countries has been about evenly achieved through greater prevention(reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,"(A15-A19, B90, J65)",A16
Avoidable mortality,Preventable mortality,Treatable mortality,Infectious diseases,Tuberculosis,Reduction in deaths from tuberculosis in several countries has been about evenly achieved through greater prevention(reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,"(A15-A19, B90, J65)",A17
Avoidable mortality,Preventable mortality,Treatable mortality,Infectious diseases,Tuberculosis,Reduction in deaths from tuberculosis in several countries has been about evenly achieved through greater prevention(reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,"(A15-A19, B90, J65)",A18
Avoidable mortality,Preventable mortality,Treatable mortality,Infectious diseases,Tuberculosis,Reduction in deaths from tuberculosis in several countries has been about evenly achieved through greater prevention(reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,"(A15-A19, B90, J65)",A19
Avoidable mortality,Preventable mortality,Treatable mortality,Infectious diseases,Tuberculosis,Reduction in deaths from tuberculosis in several countries has been about evenly achieved through greater prevention(reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,"(A15-A19, B90, J65)",B90
Avoidable mortality,Preventable mortality,Treatable mortality,Infectious diseases,Tuberculosis,Reduction in deaths from tuberculosis in several countries has been about evenly achieved through greater prevention(reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,"(A15-A19, B90, J65)",J65
Avoidable mortality,Preventable mortality,,Cancer,Stomach cancer,"This condition can be largely prevented through prevention measures (e.g. reduce smoking and alcohol consumption, and improve nutrition).",(C16),C16
Avoidable mortality,Preventable mortality,,Cancer,Liver cancer,This condition can be largely prevented through prevention measures (e.g. reduce smoking and alcohol consumption).,(C22),C22
Avoidable mortality,Preventable mortality,,Cancer,Lung cancer,This condition can be largely prevented through prevention measures (e.g. reduce smoking).,(C33-C34),C33
Avoidable mortality,Preventable mortality,,Cancer,Lung cancer,This condition can be largely prevented through prevention measures (e.g. reduce smoking).,(C33-C34),C34
Avoidable mortality,Preventable mortality,,Cancer,Mesothelioma,This condition can be largely prevented through prevention measures (e.g. reduce asbestos exposure).,(C45),C45
Avoidable mortality,Preventable mortality,,Cancer,Skin (melanoma) cancer,This condition can be largely prevented through prevention measures (e.g. reduce sun exposure).,(C43),C43
Avoidable mortality,,Treatable mortality,Cancer,Thyroid cancer,Case-fatality rates have been reduced through early detection and appropriate treatment.,(C73),C73
Avoidable mortality,,Treatable mortality,Cancer,Hodgkin's disease,Case-fatality rates have been reduced through early detection and appropriate treatment.,(C81),C81
Avoidable mortality,,Treatable mortality,Cancer,Lymphoid leukaemia,Case-fatality rates have been reduced through early detection and appropriate treatment.,"(C91.0, C91.1)",C910
Avoidable mortality,,Treatable mortality,Cancer,Lymphoid leukaemia,Case-fatality rates have been reduced through early detection and appropriate treatment.,"(C91.0, C91.1)",C911
Avoidable mortality,,Treatable mortality,Cancer,Benign neoplasm,Case-fatality rates have been reduced through early detection and appropriate treatment.,(D10-D36),D1
Avoidable mortality,,Treatable mortality,Cancer,Benign neoplasm,Case-fatality rates have been reduced through early detection and appropriate treatment.,(D10-D36),D2
Avoidable mortality,,Treatable mortality,Cancer,Benign neoplasm,Case-fatality rates have been reduced through early detection and appropriate treatment.,(D10-D36),D30
Avoidable mortality,,Treatable mortality,Cancer,Benign neoplasm,Case-fatality rates have been reduced through early detection and appropriate treatment.,(D10-D36),D31
Avoidable mortality,,Treatable mortality,Cancer,Benign neoplasm,Case-fatality rates have been reduced through early detection and appropriate treatment.,(D10-D36),D32
Avoidable mortality,,Treatable mortality,Cancer,Benign neoplasm,Case-fatality rates have been reduced through early detection and appropriate treatment.,(D10-D36),D33
Avoidable mortality,,Treatable mortality,Cancer,Benign neoplasm,Case-fatality rates have been reduced through early detection and appropriate treatment.,(D10-D36),D34
Avoidable mortality,,Treatable mortality,Cancer,Benign neoplasm,Case-fatality rates have been reduced through early detection and appropriate treatment.,(D10-D36),D35
Avoidable mortality,,Treatable mortality,Cancer,Benign neoplasm,Case-fatality rates have been reduced through early detection and appropriate treatment.,(D10-D36),D36
Avoidable mortality,Preventable mortality,,Endocrine and metabolic diseases,Nutritional deficiency anaemia,This condition can be largely prevented through prevention measures (e.g. improve nutrition).,(D50-D53),D50
Avoidable mortality,Preventable mortality,,Endocrine and metabolic diseases,Nutritional deficiency anaemia,This condition can be largely prevented through prevention measures (e.g. improve nutrition).,(D50-D53),D51
Avoidable mortality,Preventable mortality,,Endocrine and metabolic diseases,Nutritional deficiency anaemia,This condition can be largely prevented through prevention measures (e.g. improve nutrition).,(D50-D53),D52
Avoidable mortality,Preventable mortality,,Endocrine and metabolic diseases,Nutritional deficiency anaemia,This condition can be largely prevented through prevention measures (e.g. improve nutrition).,(D50-D53),D53
Avoidable mortality,Preventable mortality,Treatable mortality,Endocrine and metabolic diseases,Diabetes mellitus,"Type 1 diabetes is not preventable, but appropriate treatments can reduce mortality. Type 2 diabetes is largely preventable (e.g. improve nutrition), but appropriate treatments can also reduce mortality.",(E10-E14),E10
Avoidable mortality,Preventable mortality,Treatable mortality,Endocrine and metabolic diseases,Diabetes mellitus,"Type 1 diabetes is not preventable, but appropriate treatments can reduce mortality. Type 2 diabetes is largely preventable (e.g. improve nutrition), but appropriate treatments can also reduce mortality.",(E10-E14),E11
Avoidable mortality,Preventable mortality,Treatable mortality,Endocrine and metabolic diseases,Diabetes mellitus,"Type 1 diabetes is not preventable, but appropriate treatments can reduce mortality. Type 2 diabetes is largely preventable (e.g. improve nutrition), but appropriate treatments can also reduce mortality.",(E10-E14),E12
Avoidable mortality,Preventable mortality,Treatable mortality,Endocrine and metabolic diseases,Diabetes mellitus,"Type 1 diabetes is not preventable, but appropriate treatments can reduce mortality. Type 2 diabetes is largely preventable (e.g. improve nutrition), but appropriate treatments can also reduce mortality.",(E10-E14),E13
Avoidable mortality,Preventable mortality,Treatable mortality,Endocrine and metabolic diseases,Diabetes mellitus,"Type 1 diabetes is not preventable, but appropriate treatments can reduce mortality. Type 2 diabetes is largely preventable (e.g. improve nutrition), but appropriate treatments can also reduce mortality.",(E10-E14),E14
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Thyroid disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,(E00-E07),E00
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Thyroid disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,(E00-E07),E01
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Thyroid disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,(E00-E07),E02
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Thyroid disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,(E00-E07),E03
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Thyroid disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,(E00-E07),E04
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Thyroid disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,(E00-E07),E05
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Thyroid disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,(E00-E07),E06
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Thyroid disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,(E00-E07),E07
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Adrenal disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(E24-E25 (except E24.4), E27)",E240
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Adrenal disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(E24-E25 (except E24.4), E27)",E241
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Adrenal disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(E24-E25 (except E24.4), E27)",E242
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Adrenal disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(E24-E25 (except E24.4), E27)",E243
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Adrenal disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(E24-E25 (except E24.4), E27)",E245
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Adrenal disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(E24-E25 (except E24.4), E27)",E246
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Adrenal disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(E24-E25 (except E24.4), E27)",E247
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Adrenal disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(E24-E25 (except E24.4), E27)",E248
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Adrenal disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(E24-E25 (except E24.4), E27)",E249
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Adrenal disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(E24-E25 (except E24.4), E27)",E25
Avoidable mortality,,Treatable mortality,Endocrine and metabolic diseases,Adrenal disorders,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(E24-E25 (except E24.4), E27)",E27
Avoidable mortality,,Treatable mortality,Diseases of the nervous system,Epilepsy,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(G40,G41)",G40
Avoidable mortality,,Treatable mortality,Diseases of the nervous system,Epilepsy,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(G40,G41)",G41
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Aortic aneurysm,This condition is both preventable through prevention measures (similar risk factors as for ischaemic heart diseases) and treatable.,(I71),I71
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Hypertensive diseases,"This condition is both preventable through prevention measures (e.g. reduce smoking, improve nutrition and physical activity) and treatable.","(I10-I13, I15)",I10
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Hypertensive diseases,"This condition is both preventable through prevention measures (e.g. reduce smoking, improve nutrition and physical activity) and treatable.","(I10-I13, I15)",I11
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Hypertensive diseases,"This condition is both preventable through prevention measures (e.g. reduce smoking, improve nutrition and physical activity) and treatable.","(I10-I13, I15)",I12
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Hypertensive diseases,"This condition is both preventable through prevention measures (e.g. reduce smoking, improve nutrition and physical activity) and treatable.","(I10-I13, I15)",I13
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Hypertensive diseases,"This condition is both preventable through prevention measures (e.g. reduce smoking, improve nutrition and physical activity) and treatable.","(I10-I13, I15)",I15
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Ischaemic heart diseases,Reduction in deaths from IHD over the past decades in several countries has been about evenly achieved through greater prevention (reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,(I20-I25),I20
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Ischaemic heart diseases,Reduction in deaths from IHD over the past decades in several countries has been about evenly achieved through greater prevention (reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,(I20-I25),I21
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Ischaemic heart diseases,Reduction in deaths from IHD over the past decades in several countries has been about evenly achieved through greater prevention (reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,(I20-I25),I22
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Ischaemic heart diseases,Reduction in deaths from IHD over the past decades in several countries has been about evenly achieved through greater prevention (reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,(I20-I25),I23
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Ischaemic heart diseases,Reduction in deaths from IHD over the past decades in several countries has been about evenly achieved through greater prevention (reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,(I20-I25),I24
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Ischaemic heart diseases,Reduction in deaths from IHD over the past decades in several countries has been about evenly achieved through greater prevention (reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,(I20-I25),I25
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Cerebrovascular diseases,Reduction in deaths from CVD over the past decades in several countries has been about evenly achieved through greater prevention (reduction in incidence) and earlier detection and more effective treatment (higher survival rates).,(I60-I69),I6
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Other atherosclerosis,This condition is both preventable through prevention measures (e.g. improve nutrition) and treatable.,"(I70, I73.9)",I70
Avoidable mortality,Preventable mortality,Treatable mortality,Diseases of the circulatory system,Other atherosclerosis,This condition is both preventable through prevention measures (e.g. improve nutrition) and treatable.,"(I70, I73.9)",I739
Avoidable mortality,,Treatable mortality,Diseases of the circulatory system,Rheumatic and other heart disease,Case-fatality rates can be reduced through appropriate treatment.,(I00-I09),I0
Avoidable mortality,,Treatable mortality,Diseases of the circulatory system,Venous thromboembolism,The majority of venous thrombosis events result from hospitalisations. These cases are treatable to the extent that they are linked to the quality of care that people receive.,"(I26, I80, I82.9)",I26
Avoidable mortality,,Treatable mortality,Diseases of the circulatory system,Venous thromboembolism,The majority of venous thrombosis events result from hospitalisations. These cases are treatable to the extent that they are linked to the quality of care that people receive.,"(I26, I80, I82.9)",I80
Avoidable mortality,,Treatable mortality,Diseases of the circulatory system,Venous thromboembolism,The majority of venous thrombosis events result from hospitalisations. These cases are treatable to the extent that they are linked to the quality of care that people receive.,"(I26, I80, I82.9)",I829
Avoidable mortality,Preventable mortality,,Diseases of the respiratory system,Influenza,Most of the deaths can be prevented through prevention measures (e.g. vaccination).,(J09-J11),J09
Avoidable mortality,Preventable mortality,,Diseases of the respiratory system,Influenza,Most of the deaths can be prevented through prevention measures (e.g. vaccination).,(J09-J11),J10
Avoidable mortality,Preventable mortality,,Diseases of the respiratory system,Influenza,Most of the deaths can be prevented through prevention measures (e.g. vaccination).,(J09-J11),J11
Avoidable mortality,Preventable mortality,,Diseases of the respiratory system,Pneumonia due to Streptococcus pneumonia or Haemophilus influenza,Most of these infections can be prevented through vaccination.,(J13-J14),J13
Avoidable mortality,Preventable mortality,,Diseases of the respiratory system,Pneumonia due to Streptococcus pneumonia or Haemophilus influenza,Most of these infections can be prevented through vaccination.,(J13-J14),J14
Avoidable mortality,Preventable mortality,,Diseases of the respiratory system,Chronic lower respiratory diseases,This condition can be largely prevented through prevention measures (e.g. reduce smoking).,(J40-J44),J40
